ID,Project Name - (Value),Alternative Names - (Value),State of Development - (Value),State of Development - Reason for abandoned - (Value),State of Development - (Source ID's),State of Development - (Notes),Stage of Development - (Value),Stage of Development - (Source ID's),Stage of Development - (Notes),Type of instrument and project - Impact Bond - (Value),Type of instrument and project - Outcomes Fund - (Value),Type of instrument and project - Social Impact Incentives (SIINC) - (Value),Type of instrument and project - Social Impact Guarantee - (Value),Type of instrument and project - Payment-by-results (no pre-financing) - (Value),Type of instrument and project - Technical Assistance and Market-building program (Must involve dedicated grant resources) - (Value),Type of instrument and project - Other - (Value),(Source ID's),(Notes),Part of a larger outcomes-based financing program? - Part of a larger outcomes-based financing program? - (Value),Part of a larger outcomes-based financing program? - Details - (Value),Part of a larger outcomes-based financing program? - (Source ID's),Part of a larger outcomes-based financing program? - (Notes),Dates - Expected Launch Date - (Value),Dates - Total expected project development time - (Value),Dates - Expected length of project (years) - (Value),Dates - Project design process began - (Value),Dates - (Source ID's),Dates - (Notes),Rationale for using outcome based finance - (Value),(Source ID's),(Notes),Key challenges to launch - (Value),(Source ID's),(Notes),Role of the domestic government - Outcomes funder - (Value),Role of the domestic government - Service provider - (Value),Role of the domestic government - Member of project committee - (Value),Role of the domestic government - No formal role - (Value),Role of the domestic government - Other - (Value),(Source ID's),(Notes),Service providers identified and selected - Request-for-proposals - (Value),Service providers identified and selected - Direct contracting by outcome funder/investor/intermediary - (Value),Service providers identified and selected - Provider-led deal development - (Value),Service providers identified and selected - Other - (Value),(Source ID's),(Notes),Feasibility study - (Value),(Source ID's),(Notes),Proposed financing instruments - Debt - (Value),Proposed financing instruments - Equity - (Value),Proposed financing instruments - Guarantee - (Value),Proposed financing instruments - Grant - (Value),Proposed financing instruments - Other - (Value),(Source ID's),(Notes),Technical assistance grant - Technical assistance grant - (Value),Technical assistance grant - Details - (Value),Technical assistance grant - (Source ID's),Technical assistance grant - (Notes),Overall project finance - Estimated Maximum potential outcome payment - Currency - (Value),Overall project finance - Estimated Maximum potential outcome payment - Amount - (Value),Overall project finance - (Source ID's),Overall project finance - (Notes),Purpose and classifications - Social/Developmental challenge - (Value),Purpose and classifications - Expected intervention model - (Value),Purpose and classifications - Policy sector - Employment and private sector development - (Value),Purpose and classifications - Policy sector - Education - (Value),Purpose and classifications - Policy sector - Social protection - (Value),Purpose and classifications - Policy sector - Criminal justice - (Value),Purpose and classifications - Policy sector - Health - (Value),Purpose and classifications - Policy sector - Agriculture - (Value),Purpose and classifications - Policy sector - Environment and climate change - (Value),"Purpose and classifications - Policy sector - Water, Sanitation and Hygiene - (Value)",Purpose and classifications - Policy sector - Energy - (Value),Purpose and classifications - Policy sector - Humanitarian - (Value),Purpose and classifications - Policy sector - Other - (Value),Purpose and classifications - Primary SDG goal - (Value),Purpose and classifications - Secondary SDG goals - (Value),Purpose and classifications - Primary SDG target - (Value),Purpose and classifications - Secondary SDG targets - (Value),Purpose and classifications - (Source ID's),Purpose and classifications - (Notes),Service users and beneficiaries - Target population - (Value),Service users and beneficiaries - Targeted number of unique service users or beneficiaries (total) - (Value),Service users and beneficiaries - Unit type of targeted service users or beneficiaries - (Value),Service users and beneficiaries - Unit description of targeted service user or beneficiaries - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - Low-income - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - Lower-middle-income - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - Upper-middle-income - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - High-income - (Value),Service users and beneficiaries - (Source ID's),Service users and beneficiaries - (Notes),Notes - (Value),Delivery Locations - Name,Delivery Locations - Country
INDIGO-PL-0011,Ministry of Housing SIB - assistance in rent according to income test,,Current,,source1,,Late stage,source1,,Yes,No,No,No,No,No,,source1,,,,,,,,,,,,,,,,,,Yes,No,No,No,,source1,Ministry of Housing is the outcome payer,,,,,,,,,,,,,,,,,,,,,,,,,"The assistance allowance is intended to provide its recipients with a solution to significant emergencies / challenges that make it difficult for them to earn a living and realize their earning potential. This dependency reduces the incentive for those mothers to increase their income (since the benefit is offset as the income increases), in a way that creates a poverty trap.","The aim of the project is to exclude the population of single mothers from the circle of benefit recipients through a holistic intervention program that will address their difficulties and enable them to integrate optimally into the labor market. The program will include individual employment guidance that includes a basket of services (for example, professional training, assistance in finding frameworks for children and more), personal and mental guidance that will include encouraging proactivity, taking responsibility and more. Finally, the program will address a sub-population with unique needs such as leaving a violent marital system, special training, assistance in starting a private business and more.",Yes,No,No,No,No,No,No,No,No,No,,,1,,,source1,,Single mothers receiving assistance in rent according to an income test,1200,Individual,,No,No,No,Yes,source1,,,Israel,IL
INDIGO-PL-0012,ANDES,,Current,,source1,,Final negotiations,"source1,source2",The programmme was selected following a call for proposals. IB contract is about to be signed.,Yes,No,No,No,No,No,,source1,,Yes ,Call for proposals for IB on ‘circular economy’,source1,,Q1 - 2023,6-12 months,,May-21,source1,,"Social and environmental innovation, prevention, and the opportunity to try a new public service which could be replicated elsewhere",source1,,,,,Yes,No,No,No,,source1,,Yes,No,No,,source1,,No,source1,,Yes,No,No,Yes,,source1,,No,,source1,,EUR,2934000,source1,,Food waste,Collecting food surplus and distribution to solidarity markets,No,No,No,No,Yes,No,Yes,No,No,No,,,"2,13",,,source1,,Solidarity markets (épiceries solidaires),TBD,Other,Solidarity markets (épiceries solidaires),No,No,No,Yes,source1,,,France,FR
INDIGO-PL-0013,Articonnex,,Current,,source1,,Final negotiations,source1,,Yes,No,No,No,No,No,,source1,,Yes ,Call for proposals for IB on ‘circular economy’,source1,,Q1 - 2023,6-12 months,,May-21,"source1,source2",,"Social and environmental innovation, prevention, and the opportunity to try a new public service which could be replicated elsewhere",source1,,,,,Yes,No,No,No,,source1,,Yes,No,No,,source1,,No,source1,,Yes,No,No,Yes,,source1,,No,,source1,,EUR,2548000,source1,,Waste for construction sector,"Collecting waste from construction industry, recycling and reusing construction material",No,No,No,No,No,No,Yes,No,No,No,,,"11,13",,,source1,,,,,,No,No,No,Yes,source1,,,France,FR
INDIGO-PL-0014,Comme Les Autres,,Current,,source1,,Final negotiations,source1," Comme Les Autres was selected following a call for proposals. Weekly discussions between the outcome funder, the service provider, the advisors and the evaluator are held to work on this social impact bond. A Memorandum of Commitment is expected to be signed in March.",Yes,No,No,No,No,No,,source1,,Yes ,Call for proposals for IB on inclusive employment for 10M€,source1,,Q1 - 2023,6-12 months,3,"The call for proposals was issued in March 2021. A project selection process was then initiated beginning in June 2021. Projects were selected in November 2021. Since then, implementation discussions have been ongoing.","source1,source2",,"The project carried out by Comme les Autres is an innovative project in several respects: taking into consideration a specific public that lacks support, setting up an early, complete and multifactorial support, making the pathway more dynamic... In the long term, it could lead to a new methodology of social work for the public authorities and it presents many avoided costs.",source1,,"One of the challenges in setting up this social impact contract was the concordance of the evaluation methods between Comme les Autres and the traditional methods of the public authorities, particularly the Ministry of Labor.",source1,,Yes,No,No,No,,source1,,Yes,No,No,,source1,,No,source1,,Yes,No,No,Yes,,source1,Debt / Grant - Upfront investment through bond and outcome payments through grant funding,No,,source1,,EUR,4738000,source1,The global budget including the investors' remuneration is estimated at EUR 4.738M.,"Each year, there are nearly 2,000 new spinal cord injuries (paraplegics and tetraplegics), of which 600 are of age and sufficiently autonomous to participate in an intensive program of group activities and thrills. There are very few facilities that specifically meet the needs of people with spinal cord injuries when they leave a rehabilitation center. This shortage too often leads to a break in the social and professional reintegration of people who have become disabled.",The Employment Orientation Program (EOP) of the association Comme les Autres (CLA) aims to remove the peripheral barriers to employment for people who have become motorically handicapped as a result of an accident in order to promote their employability and enable or accelerate their socio-professional reintegration. The beneficiaries of the EOP will be accompanied within this framework for a period of one year,Yes,No,No,No,No,No,No,No,No,No,,,"8,10",,,source1,,"People with a motor disability as a result of an accident, primarily spinal cord spinal cord injuries (paraplegics and tetraplegics), but also hemiplegics and traumatic amputees.",464,Individual,,No,No,No,Yes,source1,464 beneficiaries entered the EOP,,France,FR
INDIGO-PL-0015,Duo for a job,,Current,,source1,,Final negotiations,"source1,source2"," Duo for a Job was selected following a call for proposals. Monthly discussions between the outcome funder, the service provider, the advisors and the evaluator are held to work on this social impact bond.",Yes,No,No,No,No,No,,source1,,Yes ,Call for proposals for IB on inclusive employment for 10M EUR.,source1,,Q1 - 2023,6-12 months,4,"The call for proposals was issued in March 2021. A project selection process was then initiated beginning in June 2021. Projects were selected in November 2021. Since then, implementation discussions have been ongoing","source1,source2",,"It is an innovative project, which is struggling to find funding. The project presents important avoided costs, considering the return to employment obtained. An impact contract has already been set up in Belgium by this structure.",source1,,The current challenge is to find investors given the level of remuneration,source1,,Yes,No,No,No,,source1,,Yes,No,No,,source1,,No,source1,,Yes,No,No,Yes,,source1,Debt / Grant - Upfront investment through bond and outcome payments through grant funding,No,,source1,,EUR,"The capital could be 2,486,800 and the maximum premium could be 330,000",source1,,"The creation of DUO was motivated by a double observation, observable in most European countries. First, young refugees and immigrants are overexposed to the risk of unemployment. Secondly, the potential of retirees and working people over 50 is not sufficiently exploited.","DUO for a JOB allows a young refugee or person of diversity (""mentee"") to benefit free of charge from the accompaniment of a volunteer over 50 years old (""mentor"") in his or her job search. The methodology used aims to optimize the choice of the mentor and the mutual commitment, to train and develop the skills of the mentors, and to supervise the relationship in order to ensure that it is based on achieving objectives.",Yes,No,No,No,No,No,No,No,No,No,,,"8,10",,,source1,,"DUO for a JOB accompanies young job seekers of non-European origin, almost all of whom have experienced migration and are often poorly qualified and/or newcomers",1000,Individual,,No,No,No,Yes,source1,1000 duos should be accompanied over 4 years,,France,FR
INDIGO-PL-0016,Envie Autonomie,,Current,,source1,,Final negotiations,source1, The program was selected following a call for proposals. IB contract is about to be signed.,Yes,No,No,No,No,No,,source1,,Yes ,Call for proposals for IB on inclusive employment for 10M€,source1,,Q1 - 2023,6-12 months,,Apr-21,"source1,source2",,"Social and environmental innovation, prevention, and the opportunity to try a new public service which could be replicated elsewhere",source1,,,,,Yes,No,No,No,,source1,,Yes,No,No,,source1,,No,source1,,Yes,No,No,Yes,,source1,Debt / Grant - Upfront investment through bond and outcome payments through grant funding,No,,source1,,EUR,5492727,source1,,Difficulties for affording mobility aids,"Collecting and refurbishing mobility aids through inclusive employment, selling mobility aids at low price",No,No,No,No,Yes,No,Yes,No,No,No,,,"3,10,13",,,source1,,People with low income and physical disabilities,TBD,Individual,,No,No,No,Yes,source1,,,France,FR
INDIGO-PL-0017,Label Vie,,Current,,source1,,Final negotiations,source1, The program was selected following a call for proposals. IB contract is about to be signed.,Yes,No,No,No,No,No,,source1,,Yes , Call for proposals for IB on ‘circular economy’,source1,,Q1 - 2023,6-12 months,,May-21,"source1,source2",,"Social and environmental innovation, prevention, and the opportunity to try a new public service which could be replicated elsewhere",source1,,,,,Yes,No,No,No,,source1,,Yes,No,No,,source1,,No,source1,,Yes,No,No,Yes,,source1,Debt / Grant - Upfront investment through bond and outcome payments through grant funding,No,,source1,,EUR,3130000,source1,,Little consideration for environmental challenges in collective sites,Certification process for ‘responsible nurseries’,No,Yes,No,No,No,No,Yes,No,No,No,,,"3,13",,,source1,,Nurseries,TBD,Other,Nurseries,No,No,No,Yes,source1,,,France,FR
INDIGO-PL-0018,Léo Lagrange,,Current,,source1,,Final negotiations,source1, The program was selected following a call for proposals. IB contract is about to be signed.,Yes,No,No,No,No,No,,source1,,Yes , Call for proposals for IB on ‘circular economy’,source1,,Q1 - 2023,6-12 months,,May-21,"source1,source2",,"Social and environmental innovation, prevention, and the opportunity to try a new public service which could be replicated elsewhere",source1,,,,,Yes,No,No,No,,source1,,Yes,No,No,,source1,,No,source1,,Yes,No,No,Yes,,source1,Debt / Grant - Upfront investment through bond and outcome payments through grant funding,No,,source1,,EUR,2894896,source1,,Need for raising awareness for climate action,"Workshops on sustainable development, online platform, training",No,Yes,No,No,No,No,Yes,No,No,No,,,"4,13",,,source1,,Children from 9 to 12 and their families,TBD,Other,Families,No,No,No,Yes,source1,,,France,FR
INDIGO-PL-0019,Linkee,,Current,,source1,,Late stage,source1, The program was selected following a call for proposals. IB contract is about to be signed.,Yes,No,No,No,No,No,,source1,,Yes , Call for proposals for IB on ‘circular economy’,source1,,Q1 - 2023,6-12 months,,Apr-21,source1,,"Social and environmental innovation, prevention, and the opportunity to try a new public service which could be replicated elsewhere",source1,,,,,Yes,No,No,No,,source1,,Yes,No,No,,source1,,No,source1,,Yes,No,No,Yes,,source1,Debt / Grant - Upfront investment through bond and outcome payments through grant funding,No,,source1,,EUR,2308000,source1,,Food waste and growing need for food aid,"Logistics for saving surplus food from restaurants, distributors and producers and distributing it to food aid organizations",No,No,No,No,No,No,Yes,No,No,No,,,"2,13",,,source1,,Beneficiaries of food aid,TBD,Individual,,No,No,No,Yes,source1,,,France,FR
INDIGO-PL-0020,Messidor,,Current,,source1,,Final negotiations,"source1,source2", The program was selected following a call for proposals. Evaluation framework is being finalized,Yes,No,No,No,No,No,,source1,,Yes ,Call for proposals for IB on ‘innovating for employment’ for 10M€,source1,,Q1 - 2023,6-12 months,5,Q1-2022,source1,,"Social innovation, prevention, and the opportunity to try a new public service which could be replicated elsewhere",source1,,Finding data for quasi-experimental study (not linked to outcomes payments),source1,,Yes,No,No,No,,source1,,Yes,No,No,,source1,,No,source1,,Yes,No,No,Yes,,source1,Debt / Grant - Upfront investment through bond and outcome payments through grant funding,No,,source1,,EUR,2549044,source1,,Difficulties to access the job market for job seekers with mental disorder and without official disability status,Individual placement and Support (IPS),Yes,No,No,No,No,No,No,No,No,No,,,"8,10",,,source1,,Adults with mental disorder without disability status,380,Individual,,No,No,No,Yes,source1,,,France,FR
INDIGO-PL-0021,Mozaïk RH,,Current,,source1,,Final negotiations,"source1,source2", The program was selected following a call for proposals. Evaluation framework is being finalized,Yes,No,No,No,No,No,,source1,,Yes , Call for proposals for IB on equal economic opportunities for 10M€,source1,,Q1 - 2023,6-12 months,5,Jun-21,"source1,source2",,"Social innovation, prevention, and the opportunity to try a new public service which could be replicated elsewhere",source1,,Finding data for quasi-experimental study (not linked to outcomes payments),source1,,Yes,No,No,No,,source1,,Yes,No,No,,source1,,No,source1,,Yes,No,No,Yes,,source1,Debt / Grant - Upfront investment through bond and outcome payments through grant funding,No,,source1,,EUR,3400000,source1,,Difficulties for poorer students to find a job after they finish their studies and discriminations,"Workshops for preparing students to job interviews and the job market, intermediation and non-discriminatory matching with employing companies.",Yes,Yes,No,No,No,No,No,No,No,No,,,"8,10",,,source1,,Students in higher education with scholarship and/or from Urban Priority Districts,1000,Individual,,No,No,No,Yes,source1,,,France,FR
INDIGO-PL-0022,Télémaque,,Current,,source1,,Final negotiations,"source1,source2", The program was selected following a call for proposals. Evaluation framework is being finalized,Yes,No,No,No,No,No,,source1,,Yes ,Call for proposals for IB on ‘innovating for employment’ for 10M€,source1,,Q1 - 2023,6-12 months,6,Jan-22,"source1,source2",,"Social innovation, prevention, and the opportunity to try a new public service which could be replicated elsewhere",source1,,Finding data for quasi-experimental study (not linked to outcomes payments),source1,,Yes,No,No,No,,source1,,Yes,No,No,,source1,,No,source1,,Yes,No,No,Yes,,source1,Debt / Grant - Upfront investment through bond and outcome payments through grant funding,No,,source1,,EUR,3144000,source1,,Difficulties to access the job market for student in vocational education and in poor territories,Mentoring both at school and outside of school for professional orientation,Yes,Yes,No,No,No,No,No,No,No,No,,,"8,10",,,source1,,Students in vocational education,560,Individual,,No,No,No,Yes,source1,,,France,FR
INDIGO-PL-0023,Toopi Organics,,Current,,source1,,Final negotiations,"source1,source2", The program was selected following a call for proposals. IB contract is about to be signed.,Yes,No,No,No,No,No,,source1,,Yes ,Call for proposals for IB on ‘circular economy’,source1,,Q1 - 2023,6-12 months,,May-21,"source1,source2",,"Social and environmental innovation, prevention, and the opportunity to try a new public service which could be replicated elsewhere",source1,,,,,Yes,No,No,No,,source1,,Yes,No,No,,source1,,No,source1,,Yes,No,No,Yes,,source1,Debt / Grant - Upfront investment through bond and outcome payments through grant funding,No,,source1,,EUR,3822906,source1,,Challenges for organic production,Collecting human urine for producing organic fertilizers,No,No,No,No,No,Yes,Yes,No,No,No,,,"12,13",,,source1,,Producers,TBD,Individual,,No,No,No,Yes,source1,,,France,FR
INDIGO-PL-0024,Wake Up Café,,Current,,source1,,Final negotiations,source1, The program was selected following a call for proposals. IB contract is about to be signed,Yes,No,No,No,No,No,,source1,,Yes , Call for proposals for IB on equal economic opportunities for 10M€,source1,,Q1 - 2023,6-12 months,5,Jun-21,"source1,source2",,"Social innovation, prevention, and the opportunity to try a new public service which could be replicated elsewhere",source1,,,,,Yes,No,No,No,,source1,,Yes,No,No,,source1,,No,source1,,Yes,No,No,Yes,,source1,Debt / Grant - Upfront investment through bond and outcome payments through grant funding,No,,source1,,EUR,2921668,source1,,Reoffending by lack of professional opportunities and discrimination of former offenders,"Job training in prison, individualized support in and outside prison, intermediation with employing companies",Yes,No,No,Yes,No,No,No,No,No,No,,,"8,10",,,source1,,Offenders in the judicial system with difficulties to integrate the job market,648,Individual,,No,No,No,Yes,source1,,,France,FR
